run1,run2,jaccard_edge_similarity
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(18),0.23076923076923078
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(19),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(2),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(20),0.20833333333333334
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(3),0.4090909090909091
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(4),0.4090909090909091
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(5),0.3181818181818182
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(6),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(7),0.19230769230769232
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(8),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_003530_corn stover_to_ethanol_(9),0.23076923076923078
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(1),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(10),0.32
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(11),0.2692307692307692
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(12),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(13),0.25925925925925924
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(14),0.28
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(15),0.19230769230769232
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(16),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(17),0.3076923076923077
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(18),0.23076923076923078
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(19),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(2),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(20),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(3),0.18518518518518517
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(4),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(5),0.34782608695652173
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(6),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(7),0.2916666666666667
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(8),0.25
20241209_000851_corn stover_to_ethanol_(10),20241209_003719_corn stover_to_ethanol_(9),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(1),0.24
20241209_000851_corn stover_to_ethanol_(10),20241209_004018_corn stover_to_ethanol_(10),0.2608695652173913
